Area,Narendra Kumar BJP,Sharwan Kumar S/O Gokul ram INC,Ajay Pal BMP,Krishan Kumar Jangid RMP,Dr Tejpal Katewa RRP,Mahant Aakash Giri IND,Kailash Kadwasra IND,Guru Gokulchand Rastrawadi IND,Baldev Prasad Saini IND,Bhim Singh IND,Mohd Yunus IND,Sharwan Kumar S/O Hukma Ram IND,NOTA,Total
Badet,821,500,6,1,1,0,2,2,0,1,0,4,5,1343
Jabasar,140,1251,6,1,0,0,2,1,0,3,1,4,2,1411
Tamkor,2072,883,14,2,5,4,5,5,1,4,7,17,28,3047
Bas Kaliyasar,140,106,4,0,0,2,0,0,0,0,0,0,2,254
Kaliyasar,255,299,2,1,1,0,0,0,0,0,0,2,1,561
Patusar,493,195,1,0,0,0,0,0,0,0,1,3,4,697
Dhilsar,678,379,10,0,2,2,0,0,2,2,3,7,15,1100
Itava Khurd,478,123,1,0,0,0,0,0,1,0,0,7,5,615
Itava Kalan,329,258,6,0,1,3,0,0,1,0,0,2,4,604
Malsisar,3512,2871,33,9,3,12,3,6,5,7,16,42,47,6566
Alsisar,1893,867,10,1,1,0,0,0,0,3,2,12,22,2811
Govindpura,70,341,1,0,0,1,0,0,0,0,1,1,0,415
Niradhnu,1143,784,6,1,5,3,3,1,1,7,2,21,16,1993
Gangiyasar,1307,1561,20,0,3,3,4,2,5,1,4,17,20,2947
Bissau,5057,5636,43,5,4,3,9,6,7,12,22,64,68,10936
Mahansar,922,1411,17,2,3,0,3,1,1,1,6,8,18,2393
Pilani Khurd,316,200,4,0,0,0,1,1,0,0,0,3,6,531
Chandva,737,409,6,0,1,1,0,3,1,2,1,8,9,1178
Bidasar,567,226,4,0,0,0,0,0,0,0,0,7,4,808
Haripura,380,243,2,0,1,0,0,0,0,1,1,1,2,631
Bajla,810,247,2,0,0,3,1,0,0,0,2,11,8,1084
Kyamsar,111,465,3,0,0,0,0,0,0,0,0,2,2,583
Dhanuri,348,759,9,1,0,2,0,1,1,1,0,5,9,1136
Naya Bas(Dhanuri),155,486,2,1,0,2,1,0,0,1,0,3,1,652
Lutu,1183,530,7,1,0,0,3,1,0,5,5,9,21,1765
Kolinda,797,547,3,1,3,0,0,1,1,1,1,5,5,1365
Khidersar,285,197,2,0,1,0,1,0,0,0,1,0,3,490
Hamirwas,197,306,0,1,0,0,0,0,0,0,2,1,2,509
Birmi,424,277,6,0,1,1,0,0,0,1,0,0,1,711
Tani,999,1320,12,2,4,0,1,2,1,6,9,19,15,2390
Siriyasar Khurd,246,189,3,0,0,1,0,1,1,1,0,1,2,445
Chudela,516,270,1,0,0,0,0,0,2,0,0,1,12,802
Hansasar,885,374,4,2,0,0,0,0,2,0,1,5,10,1283
Hansasari,641,440,2,0,1,3,2,0,0,2,3,8,6,1108
Luna,581,240,2,0,1,0,0,0,0,0,0,4,3,831
Sonasar,1098,500,8,1,0,1,1,2,0,3,0,7,5,1626
Hamiri Kalan,519,277,1,0,1,1,0,0,2,4,2,6,7,820
Hamiri Khurd,278,137,0,0,0,0,1,0,0,1,0,4,4,425
Rijani,395,125,1,0,1,0,0,0,0,0,1,0,0,523
Sekhsar,615,476,3,0,1,1,2,1,0,1,1,0,5,1106
Sigda,736,239,2,1,1,3,0,1,0,0,1,3,1,988
Madansar,144,229,1,0,0,0,0,0,0,0,1,2,1,378
Chakbas,159,114,0,0,0,0,0,0,0,0,0,0,1,274
Wahidpura,1054,595,7,1,0,1,1,0,2,0,5,12,12,1690
Mandawa,5441,4854,40,9,10,5,8,1,3,12,16,61,68,10528
Ranjitpura,306,145,3,0,1,0,0,1,0,1,0,2,7,466
Ladsar,359,120,1,0,0,0,1,0,0,1,2,3,2,489
Hetamsar,720,503,1,3,0,0,0,2,1,0,1,3,8,1242
Siriyasar Kalan,890,636,6,2,0,2,1,1,1,2,2,9,5,1557
Bhojasar,776,624,7,2,1,0,3,0,1,2,1,5,14,1436
Ajeetgarh,857,207,4,0,0,0,1,0,0,4,0,6,5,1084
Nua,1301,1561,14,2,2,3,2,2,1,3,6,20,23,2940